path,status,reason,W,H,mean_gray,std_gray,black_ratio,white_ratio
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_1.png,ok,,64,64,143.26473999023438,67.74177551269531,0.029541015625,0.033447265625
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_10.png,ok,,64,64,122.68687438964844,52.35262680053711,0.029296875,0.018798828125
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_100.png,ok,,64,64,96.01200866699219,55.828208923339844,0.021484375,0.00244140625
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_101.png,ok,,64,64,85.33917236328125,57.77259826660156,0.03466796875,0.02294921875
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_102.png,ok,,64,64,122.62800598144531,63.14954376220703,0.0341796875,0.02197265625
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_103.png,ok,,64,64,85.26355743408203,53.25539016723633,0.038818359375,0.024169921875
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_104.png,ok,,64,64,113.77342987060547,61.420528411865234,0.031494140625,0.028564453125
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_105.png,ok,,64,64,128.8391571044922,66.68040466308594,0.03857421875,0.01904296875
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_106.png,ok,,64,64,148.50686645507812,58.65410614013672,0.017333984375,0.02978515625
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_107.png,ok,,64,64,116.23275756835938,66.29612731933594,0.0439453125,0.028076171875
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_108.png,ok,,64,64,143.72525024414062,56.96364212036133,0.027099609375,0.016845703125
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_109.png,ok,,64,64,135.41888427734375,57.18168258666992,0.025390625,0.0234375
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_11.png,ok,,64,64,124.23957824707031,68.2037353515625,0.03662109375,0.0302734375
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_110.png,ok,,64,64,128.58038330078125,68.27339172363281,0.037109375,0.0341796875
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_111.png,ok,,64,64,131.40603637695312,68.99238586425781,0.03466796875,0.03662109375
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_112.png,ok,,64,64,128.89743041992188,60.74076461791992,0.02978515625,0.01953125
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_113.png,ok,,64,64,162.93838500976562,48.87298583984375,0.025390625,0.018798828125
D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_114.png,ok,,64,64,115.26984405517578,52.883060455322266,0.021484375,0.00341796875
